,x,y
0,0.0,62.0
1,10.0,59.89154786963877
2,11.0,59.722953848366195
3,14.0,59.26138358027185
4,18.0,58.74537659598388
5,20.0,58.52786404500042
6,30.0,57.79771798166021
7,31.0,57.75333297718296
8,41.0,57.518071151686165
9,48.0,57.49767584376549
10,50.0,57.5
11,57.0,57.495145931172345
12,58.0,57.48951909731884
13,67.0,57.322331326002974
14,73.0,57.04049492258921
15,76.0,56.83174901937129
16,79.0,56.57124009900552
17,97.0,53.71449571682464
18,108.0,50.74866528902905
19,109.0,50.43234948541554
20,112.0,49.438211887106014
21,120.0,46.47213595499958
22,122.0,45.66410594220631
23,129.0,42.653256429223816
24,133.0,40.82233132600297
25,137.0,38.92718312507824
26,142.0,36.48951909731883
27,143.0,35.99514593117234
28,144.0,35.4990505166858
29,147.0,34.00286650654811
30,155.0,29.998524279678154
31,156.0,29.500949483314205
32,161.0,27.04009663803767
33,162.0,26.555003578522577
34,170.0,22.797717981660217
35,172.0,21.900608082010486
36,175.0,20.593145750507627
37,176.0,20.16825098062871
38,177.0,19.749111442956323
39,181.0,18.133355405803506
40,186.0,16.261383580271843
41,188.0,15.561788112893993
42,190.0,14.891547869638774
43,192.0,14.251334710970953
44,193.0,13.942665904490024
45,195.0,13.3484932752389
46,197.0,12.78550428317536
47,200.0,12.0
